Origin,location1,destination,location2,distance
0,"51.510427,-0.127095",0,"51.510427,-0.127095",0
0,"51.510427,-0.127095",1,"51.52024,-0.10343",2.58
0,"51.510427,-0.127095",2,"51.716061,-0.282385",31.562
0,"51.510427,-0.127095",3,"53.485095,-2.242378",337.338
0,"51.510427,-0.127095",4,"52.363821,-1.946295",180.546
0,"51.510427,-0.127095",5,"55.95774,-3.207765",667.297
0,"51.510427,-0.127095",6,"55.94395,-3.18329",647.683
1,"51.52024,-0.10343",0,"51.510427,-0.127095",3.147
1,"51.52024,-0.10343",1,"51.52024,-0.10343",0
1,"51.52024,-0.10343",2,"51.716061,-0.282385",31.058
1,"51.52024,-0.10343",3,"53.485095,-2.242378",337.549
1,"51.52024,-0.10343",4,"52.363821,-1.946295",180.757
1,"51.52024,-0.10343",5,"55.95774,-3.207765",655.308
1,"51.52024,-0.10343",6,"55.94395,-3.18329",653.268
2,"51.716061,-0.282385",0,"51.510427,-0.127095",31.106
2,"51.716061,-0.282385",1,"51.52024,-0.10343",31.486
2,"51.716061,-0.282385",2,"51.716061,-0.282385",0
2,"51.716061,-0.282385",3,"53.485095,-2.242378",294.528
2,"51.716061,-0.282385",4,"52.363821,-1.946295",180.978
2,"51.716061,-0.282385",5,"55.95774,-3.207765",621.344
2,"51.716061,-0.282385",6,"55.94395,-3.18329",619.304
3,"53.485095,-2.242378",0,"51.510427,-0.127095",337.715
3,"53.485095,-2.242378",1,"51.52024,-0.10343",323.541
3,"53.485095,-2.242378",2,"51.716061,-0.282385",297.868
3,"53.485095,-2.242378",3,"53.485095,-2.242378",0
3,"53.485095,-2.242378",4,"52.363821,-1.946295",163.03
3,"53.485095,-2.242378",5,"55.95774,-3.207765",347.71
3,"53.485095,-2.242378",6,"55.94395,-3.18329",349.467
4,"52.363821,-1.946295",0,"51.510427,-0.127095",179.104
4,"52.363821,-1.946295",1,"51.52024,-0.10343",180.26
4,"52.363821,-1.946295",2,"51.716061,-0.282385",178.64
4,"52.363821,-1.946295",3,"53.485095,-2.242378",161.566
4,"52.363821,-1.946295",4,"52.363821,-1.946295",0
4,"52.363821,-1.946295",5,"55.95774,-3.207765",491.525
4,"52.363821,-1.946295",6,"55.94395,-3.18329",493.282
5,"55.95774,-3.207765",0,"51.510427,-0.127095",665.726
5,"55.95774,-3.207765",1,"51.52024,-0.10343",651.552
5,"55.95774,-3.207765",2,"51.716061,-0.282385",625.879
5,"55.95774,-3.207765",3,"53.485095,-2.242378",347.374
5,"55.95774,-3.207765",4,"52.363821,-1.946295",491.041
5,"55.95774,-3.207765",5,"55.95774,-3.207765",0
5,"55.95774,-3.207765",6,"55.94395,-3.18329",3.171
6,"55.94395,-3.18329",0,"51.510427,-0.127095",647.338
6,"55.94395,-3.18329",1,"51.52024,-0.10343",646.737
6,"55.94395,-3.18329",2,"51.716061,-0.282385",621.064
6,"55.94395,-3.18329",3,"53.485095,-2.242378",349.189
6,"55.94395,-3.18329",4,"52.363821,-1.946295",492.856
6,"55.94395,-3.18329",5,"55.95774,-3.207765",3.243
6,"55.94395,-3.18329",6,"55.94395,-3.18329",0
